code,WHERE1_프로젝트,WHERE2_동,WHERE3_층,HOW1_공사,HOW2_대공종,HOW3_작업명,HOW4_품명,HOW5_규격,HOW6_세부작업명,WHEN1_시작일,WHEN2종료일,WHEN3_기간(일),WHO1_하도급업체,R1_단위,R2_수량,R3_재료비_단가,R4_노무비_단가,R5_경비_단가,R6_합계_단가,R7_재료비_금액,R8_노무비_금액,R9_경비_금액,R10_합계_금액
인천_00011,인천소방학교,01_본관동,,A_건축공사,A01_공통가설공사,본관동 공통가설공사,가설전력사용료,,가설전력사용료,2025-06-02,2025-06-30,28,금빛건설㈜,식,1.0,0.0,0.0,38170000.0,38170000.0,0.0,0.0,38170000.0,38170000.0
인천_00012,인천소방학교,01_본관동,,A_건축공사,A01_공통가설공사,본관동 공통가설공사,건설폐기물상차비 - 중간처리,16톤압롤트럭(20m3),건설폐기물상차비 - 중간처리,2025-06-02,2025-06-30,28,금빛건설㈜,TON,363.351,0.0,0.0,3168.0,3168.0,0.0,0.0,1151095.0,1151095.0
인천_00013,인천소방학교,01_본관동,,A_건축공사,A01_공통가설공사,본관동 공통가설공사,휴대용확성기,,휴대용확성기,2025-06-02,2025-06-30,28,금빛건설㈜,EA,1.0,50000.0,0.0,0.0,50000.0,50000.0,0.0,0.0,50000.0
인천_00014,인천소방학교,01_본관동,,A_건축공사,A01_공통가설공사,본관동 공통가설공사,간이피난유도선,100M용,간이피난유도선,2025-06-02,2025-06-30,28,금빛건설㈜,SET,5.0,803756.0,0.0,0.0,803756.0,4018780.0,0.0,0.0,4018780.0
인천_00015,인천소방학교,01_본관동,,A_건축공사,A01_공통가설공사,본관동 공통가설공사,소화기,대형분말소화기,소화기,2025-06-02,2025-06-30,28,금빛건설㈜,개,11.0,160000.0,0.0,0.0,160000.0,1760000.0,0.0,0.0,1760000.0
인천_00016,인천소방학교,01_본관동,,A_건축공사,A02_가설공사,본관동 가설공사,조립말비계 (강관),"3개월 이하 1단,2m",조립말비계 (강관),2026-05-01,2026-10-15,167,금빛건설㈜,대,62.0,23445.0,74241.0,0.0,97686.0,1453590.0,4602942.0,0.0,6056532.0
인천_00017,인천소방학교,01_본관동,,A_건축공사,A02_가설공사,본관동 가설공사,시스템비계,10m이하,시스템비계,2026-05-01,2026-10-15,167,금빛건설㈜,㎡,10679.0,372.0,12003.0,0.0,12375.0,3972588.0,128180037.0,0.0,132152625.0
인천_00018,인천소방학교,01_본관동,,A_건축공사,A02_가설공사,본관동 가설공사,강관동바리(0.6m초과),"3.5m이하, 3개월이하",강관동바리(0.6m초과),2026-05-01,2026-10-15,167,금빛건설㈜,㎡,58.0,2637.0,8828.0,0.0,11465.0,152946.0,512024.0,0.0,664970.0
인천_00019,인천소방학교,01_본관동,,A_건축공사,A02_가설공사,본관동 가설공사,강관동바리(0.6m초과),"3.5-4.2m이하, 3개월이하",강관동바리(0.6m초과),2026-05-01,2026-10-15,167,금빛건설㈜,㎡,3505.0,2665.0,10657.0,0.0,13322.0,9340825.0,37352785.0,0.0,46693610.0
인천_00020,인천소방학교,01_본관동,,A_건축공사,A02_가설공사,본관동 가설공사,시스템동바리 설치 및 해체,10m 이하,시스템동바리 설치 및 해체,2026-05-01,2026-10-15,167,금빛건설㈜,10공M3,1036.0,6050.0,175810.0,7130.0,188990.0,6267800.0,182139160.0,7386680.0,195793640.0
인천_00021,인천소방학교,01_본관동,,A_건축공사,A02_가설공사,본관동 가설공사,현장 정리,RC조,현장 정리,2026-05-01,2026-10-15,167,금빛건설㈜,㎡,12235.0,129.0,12741.0,0.0,12870.0,1578315.0,155886135.0,0.0,157464450.0
인천_00022,인천소방학교,01_본관동,,A_건축공사,A02_가설공사,본관동 가설공사,구조부 먹매김,일반,구조부 먹매김,2026-05-01,2026-10-15,167,금빛건설㈜,M2,12235.0,0.0,897.0,0.0,897.0,0.0,10974795.0,0.0,10974795.0
인천_00023,인천소방학교,01_본관동,,A_건축공사,A02_가설공사,본관동 가설공사,거푸집 먹매김,일반,거푸집 먹매김,2026-05-01,2026-10-15,167,금빛건설㈜,M2,12235.0,0.0,2093.0,0.0,2093.0,0.0,25607855.0,0.0,25607855.0
인천_00024,인천소방학교,01_본관동,,A_건축공사,A02_가설공사,본관동 가설공사,건축물보양 - 콘크리트,살수,건축물보양 - 콘크리트,2026-05-01,2026-10-15,167,금빛건설㈜,M2,16291.0,0.0,512.0,0.0,512.0,0.0,8340992.0,0.0,8340992.0
인천_00025,인천소방학교,01_본관동,,A_건축공사,A02_가설공사,본관동 가설공사,"건축물보양 - 석재면, 테라조면",하드롱지,"건축물보양 - 석재면, 테라조면",2026-05-01,2026-10-15,167,금빛건설㈜,M2,2325.0,329.0,936.0,0.0,1265.0,764925.0,2176200.0,0.0,2941125.0
인천_00026,인천소방학교,01_본관동,,A_건축공사,A02_가설공사,본관동 가설공사,건축물보양 - 타일,톱밥,건축물보양 - 타일,2026-05-01,2026-10-15,167,금빛건설㈜,M2,4179.0,998.0,175.0,0.0,1173.0,4170642.0,731325.0,0.0,4901967.0
인천_00027,인천소방학교,01_본관동,02_B1,A_건축공사,A03_철근콘크리트공사,본관동 B1 철근콘크리트공사,철근콘크리트용봉강(도급),"철근콘크리트용봉강, 이형봉강(SD350/400), HD-10, 하치장상차도",철근콘크리트(B1F),2025-11-20,2026-03-10,110,(주)동성철근,TON,8.991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
인천_00028,인천소방학교,01_본관동,03_F1,A_건축공사,A03_철근콘크리트공사,본관동 1F 철근콘크리트공사,철근콘크리트용봉강(도급),"철근콘크리트용봉강, 이형봉강(SD350/400), HD-10, 하치장상차도",철근콘크리트(1F),2026-03-10,2026-04-15,36,(주)동성철근,TON,76.089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
인천_00029,인천소방학교,01_본관동,04_F2,A_건축공사,A03_철근콘크리트공사,본관동 2F 철근콘크리트공사,철근콘크리트용봉강(도급),"철근콘크리트용봉강, 이형봉강(SD350/400), HD-10, 하치장상차도",철근콘크리트(2F),2026-04-16,2026-05-20,34,(주)동성철근,TON,59.684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
인천_00030,인천소방학교,01_본관동,05_F3,A_건축공사,A03_철근콘크리트공사,본관동 3F 철근콘크리트공사,철근콘크리트용봉강(도급),"철근콘크리트용봉강, 이형봉강(SD350/400), HD-10, 하치장상차도",철근콘크리트(3F),2026-05-21,2026-06-10,20,(주)동성철근,TON,52.479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
인천_00031,인천소방학교,01_본관동,06_F4,A_건축공사,A03_철근콘크리트공사,본관동 4F 철근콘크리트공사,철근콘크리트용봉강(도급),"철근콘크리트용봉강, 이형봉강(SD350/400), HD-10, 하치장상차도",철근콘크리트(4F),2026-06-11,2026-07-05,24,(주)동성철근,TON,40.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
인천_00032,인천소방학교,01_본관동,07_F5,A_건축공사,A03_철근콘크리트공사,본관동 5F 철근콘크리트공사,철근콘크리트용봉강(도급),"철근콘크리트용봉강, 이형봉강(SD350/400), HD-10, 하치장상차도",철근콘크리트(5F),2026-07-05,2026-08-10,36,(주)동성철근,TON,17.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
인천_00033,인천소방학교,01_본관동,02_B1,A_건축공사,A03_철근콘크리트공사,본관동 B1 철근콘크리트공사,철근콘크리트용봉강(도급),"철근콘크리트용봉강, 이형봉강(SD350/400), HD-13, 하치장상차도",철근콘크리트(B1F),2025-11-20,2026-03-10,110,(주)동성철근,TON,4.533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
인천_00034,인천소방학교,01_본관동,03_F1,A_건축공사,A03_철근콘크리트공사,본관동 1F 철근콘크리트공사,철근콘크리트용봉강(도급),"철근콘크리트용봉강, 이형봉강(SD350/400), HD-13, 하치장상차도",철근콘크리트(1F),2026-03-10,2026-04-15,36,(주)동성철근,TON,38.363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
인천_00035,인천소방학교,01_본관동,04_F2,A_건축공사,A03_철근콘크리트공사,본관동 2F 철근콘크리트공사,철근콘크리트용봉강(도급),"철근콘크리트용봉강, 이형봉강(SD350/400), HD-13, 하치장상차도",철근콘크리트(2F),2026-04-16,2026-05-20,34,(주)동성철근,TON,30.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
인천_00036,인천소방학교,01_본관동,05_F3,A_건축공사,A03_철근콘크리트공사,본관동 3F 철근콘크리트공사,철근콘크리트용봉강(도급),"철근콘크리트용봉강, 이형봉강(SD350/400), HD-13, 하치장상차도",철근콘크리트(3F),2026-05-21,2026-06-10,20,(주)동성철근,TON,26.459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
인천_00037,인천소방학교,01_본관동,06_F4,A_건축공사,A03_철근콘크리트공사,본관동 4F 철근콘크리트공사,철근콘크리트용봉강(도급),"철근콘크리트용봉강, 이형봉강(SD350/400), HD-13, 하치장상차도",철근콘크리트(4F),2026-06-11,2026-07-05,24,(주)동성철근,TON,20.558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
인천_00038,인천소방학교,01_본관동,07_F5,A_건축공사,A03_철근콘크리트공사,본관동 5F 철근콘크리트공사,철근콘크리트용봉강(도급),"철근콘크리트용봉강, 이형봉강(SD350/400), HD-13, 하치장상차도",철근콘크리트(5F),2026-07-05,2026-08-10,36,(주)동성철근,TON,8.577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
인천_00039,인천소방학교,01_본관동,02_B1,A_건축공사,A03_철근콘크리트공사,본관동 B1 철근콘크리트공사,철근콘크리트용봉강(도급),"철근콘크리트용봉강, 이형봉강(SD500), SH-16, 하치장상차도",철근콘크리트(B1F),2025-11-20,2026-03-10,110,(주)동성철근,TON,4.618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
인천_00040,인천소방학교,01_본관동,03_F1,A_건축공사,A03_철근콘크리트공사,본관동 1F 철근콘크리트공사,철근콘크리트용봉강(도급),"철근콘크리트용봉강, 이형봉강(SD500), SH-16, 하치장상차도",철근콘크리트(1F),2026-03-10,2026-04-15,36,(주)동성철근,TON,39.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
인천_00041,인천소방학교,01_본관동,04_F2,A_건축공사,A03_철근콘크리트공사,본관동 2F 철근콘크리트공사,철근콘크리트용봉강(도급),"철근콘크리트용봉강, 이형봉강(SD500), SH-16, 하치장상차도",철근콘크리트(2F),2026-04-16,2026-05-20,34,(주)동성철근,TON,30.656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
인천_00042,인천소방학교,01_본관동,05_F3,A_건축공사,A03_철근콘크리트공사,본관동 3F 철근콘크리트공사,철근콘크리트용봉강(도급),"철근콘크리트용봉강, 이형봉강(SD500), SH-16, 하치장상차도",철근콘크리트(3F),2026-05-21,2026-06-10,20,(주)동성철근,TON,26.956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
인천_00043,인천소방학교,01_본관동,06_F4,A_건축공사,A03_철근콘크리트공사,본관동 4F 철근콘크리트공사,철근콘크리트용봉강(도급),"철근콘크리트용봉강, 이형봉강(SD500), SH-16, 하치장상차도",철근콘크리트(4F),2026-06-11,2026-07-05,24,(주)동성철근,TON,20.944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
인천_00044,인천소방학교,01_본관동,07_F5,A_건축공사,A03_철근콘크리트공사,본관동 5F 철근콘크리트공사,철근콘크리트용봉강(도급),"철근콘크리트용봉강, 이형봉강(SD500), SH-16, 하치장상차도",철근콘크리트(5F),2026-07-05,2026-08-10,36,(주)동성철근,TON,8.738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
인천_00045,인천소방학교,01_본관동,02_B1,A_건축공사,A03_철근콘크리트공사,본관동 B1 철근콘크리트공사,철근콘크리트용봉강(도급),"철근콘크리트용봉강, 이형봉강(SD500), SH-19, 하치장상차도",철근콘크리트(B1F),2025-11-20,2026-03-10,110,(주)동성철근,TON,9.699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
인천_00046,인천소방학교,01_본관동,03_F1,A_건축공사,A03_철근콘크리트공사,본관동 1F 철근콘크리트공사,철근콘크리트용봉강(도급),"철근콘크리트용봉강, 이형봉강(SD500), SH-19, 하치장상차도",철근콘크리트(1F),2026-03-10,2026-04-15,36,(주)동성철근,TON,82.074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
인천_00047,인천소방학교,01_본관동,04_F2,A_건축공사,A03_철근콘크리트공사,본관동 2F 철근콘크리트공사,철근콘크리트용봉강(도급),"철근콘크리트용봉강, 이형봉강(SD500), SH-19, 하치장상차도",철근콘크리트(2F),2026-04-16,2026-05-20,34,(주)동성철근,TON,64.378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
인천_00048,인천소방학교,01_본관동,05_F3,A_건축공사,A03_철근콘크리트공사,본관동 3F 철근콘크리트공사,철근콘크리트용봉강(도급),"철근콘크리트용봉강, 이형봉강(SD500), SH-19, 하치장상차도",철근콘크리트(3F),2026-05-21,2026-06-10,20,(주)동성철근,TON,56.608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
인천_00049,인천소방학교,01_본관동,06_F4,A_건축공사,A03_철근콘크리트공사,본관동 4F 철근콘크리트공사,철근콘크리트용봉강(도급),"철근콘크리트용봉강, 이형봉강(SD500), SH-19, 하치장상차도",철근콘크리트(4F),2026-06-11,2026-07-05,24,(주)동성철근,TON,43.983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
인천_00050,인천소방학교,01_본관동,07_F5,A_건축공사,A03_철근콘크리트공사,본관동 5F 철근콘크리트공사,철근콘크리트용봉강(도급),"철근콘크리트용봉강, 이형봉강(SD500), SH-19, 하치장상차도",철근콘크리트(5F),2026-07-05,2026-08-10,36,(주)동성철근,TON,18.347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
인천_00051,인천소방학교,01_본관동,02_B1,A_건축공사,A03_철근콘크리트공사,본관동 B1 철근콘크리트공사,철근콘크리트용봉강(도급),"철근콘크리트용봉강, 이형봉강(SD500), SH-22, 하치장상차도",철근콘크리트(B1F),2025-11-20,2026-03-10,110,(주)동성철근,TON,16.201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
인천_00052,인천소방학교,01_본관동,03_F1,A_건축공사,A03_철근콘크리트공사,본관동 1F 철근콘크리트공사,철근콘크리트용봉강(도급),"철근콘크리트용봉강, 이형봉강(SD500), SH-22, 하치장상차도",철근콘크리트(1F),2026-03-10,2026-04-15,36,(주)동성철근,TON,137.101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
인천_00053,인천소방학교,01_본관동,04_F2,A_건축공사,A03_철근콘크리트공사,본관동 2F 철근콘크리트공사,철근콘크리트용봉강(도급),"철근콘크리트용봉강, 이형봉강(SD500), SH-22, 하치장상차도",철근콘크리트(2F),2026-04-16,2026-05-20,34,(주)동성철근,TON,107.541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
인천_00054,인천소방학교,01_본관동,05_F3,A_건축공사,A03_철근콘크리트공사,본관동 3F 철근콘크리트공사,철근콘크리트용봉강(도급),"철근콘크리트용봉강, 이형봉강(SD500), SH-22, 하치장상차도",철근콘크리트(3F),2026-05-21,2026-06-10,20,(주)동성철근,TON,94.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
인천_00055,인천소방학교,01_본관동,06_F4,A_건축공사,A03_철근콘크리트공사,본관동 4F 철근콘크리트공사,철근콘크리트용봉강(도급),"철근콘크리트용봉강, 이형봉강(SD500), SH-22, 하치장상차도",철근콘크리트(4F),2026-06-11,2026-07-05,24,(주)동성철근,TON,73.471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
인천_00056,인천소방학교,01_본관동,07_F5,A_건축공사,A03_철근콘크리트공사,본관동 5F 철근콘크리트공사,철근콘크리트용봉강(도급),"철근콘크리트용봉강, 이형봉강(SD500), SH-22, 하치장상차도",철근콘크리트(5F),2026-07-05,2026-08-10,36,(주)동성철근,TON,30.649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
인천_00057,인천소방학교,01_본관동,02_B1,A_건축공사,A03_철근콘크리트공사,본관동 B1 철근콘크리트공사,철근콘크리트용봉강(도급),"철근콘크리트용봉강, 이형봉강(SD500), SH-25, 하치장상차도",철근콘크리트(B1F),2025-11-20,2026-03-10,110,(주)동성철근,TON,2.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
인천_00058,인천소방학교,01_본관동,03_F1,A_건축공사,A03_철근콘크리트공사,본관동 1F 철근콘크리트공사,철근콘크리트용봉강(도급),"철근콘크리트용봉강, 이형봉강(SD500), SH-25, 하치장상차도",철근콘크리트(1F),2026-03-10,2026-04-15,36,(주)동성철근,TON,17.426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
인천_00059,인천소방학교,01_본관동,04_F2,A_건축공사,A03_철근콘크리트공사,본관동 2F 철근콘크리트공사,철근콘크리트용봉강(도급),"철근콘크리트용봉강, 이형봉강(SD500), SH-25, 하치장상차도",철근콘크리트(2F),2026-04-16,2026-05-20,34,(주)동성철근,TON,13.669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
인천_00060,인천소방학교,01_본관동,05_F3,A_건축공사,A03_철근콘크리트공사,본관동 3F 철근콘크리트공사,철근콘크리트용봉강(도급),"철근콘크리트용봉강, 이형봉강(SD500), SH-25, 하치장상차도",철근콘크리트(3F),2026-05-21,2026-06-10,20,(주)동성철근,TON,12.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
인천_00061,인천소방학교,01_본관동,06_F4,A_건축공사,A03_철근콘크리트공사,본관동 4F 철근콘크리트공사,철근콘크리트용봉강(도급),"철근콘크리트용봉강, 이형봉강(SD500), SH-25, 하치장상차도",철근콘크리트(4F),2026-06-11,2026-07-05,24,(주)동성철근,TON,9.339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
인천_00062,인천소방학교,01_본관동,07_F5,A_건축공사,A03_철근콘크리트공사,본관동 5F 철근콘크리트공사,철근콘크리트용봉강(도급),"철근콘크리트용봉강, 이형봉강(SD500), SH-25, 하치장상차도",철근콘크리트(5F),2026-07-05,2026-08-10,36,(주)동성철근,TON,3.896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
인천_00063,인천소방학교,01_본관동,02_B1,A_건축공사,A03_철근콘크리트공사,본관동 B1 철근콘크리트공사,철근 공장가공 및 현장조립,Type- 2,철근콘크리트(B1F),2025-11-20,2026-03-10,110,(주)동성철근,TON,44.759,88376.0,542881.0,0.0,631257.0,3955658.0,24299037.0,0.0,28254696.0
인천_00064,인천소방학교,01_본관동,03_F1,A_건축공사,A03_철근콘크리트공사,본관동 1F 철근콘크리트공사,철근 공장가공 및 현장조립,Type- 2,철근콘크리트(1F),2026-03-10,2026-04-15,36,(주)동성철근,TON,378.774,88376.0,542881.0,0.0,631257.0,33474538.0,205629252.0,0.0,239103790.0
인천_00065,인천소방학교,01_본관동,04_F2,A_건축공사,A03_철근콘크리트공사,본관동 2F 철근콘크리트공사,철근 공장가공 및 현장조립,Type- 2,철근콘크리트(2F),2026-04-16,2026-05-20,34,(주)동성철근,TON,297.107,88376.0,542881.0,0.0,631257.0,26257131.0,161293761.0,0.0,187550892.0
인천_00066,인천소방학교,01_본관동,05_F3,A_건축공사,A03_철근콘크리트공사,본관동 3F 철근콘크리트공사,철근 공장가공 및 현장조립,Type- 2,철근콘크리트(3F),2026-05-21,2026-06-10,20,(주)동성철근,TON,261.244,88376.0,542881.0,0.0,631257.0,23087726.0,141824563.0,0.0,164912289.0
인천_00067,인천소방학교,01_본관동,06_F4,A_건축공사,A03_철근콘크리트공사,본관동 4F 철근콘크리트공사,철근 공장가공 및 현장조립,Type- 2,철근콘크리트(4F),2026-06-11,2026-07-05,24,(주)동성철근,TON,202.98,88376.0,542881.0,0.0,631257.0,17938565.0,110194017.0,0.0,128132582.0
인천_00068,인천소방학교,01_본관동,07_F5,A_건축공사,A03_철근콘크리트공사,본관동 5F 철근콘크리트공사,철근 공장가공 및 현장조립,Type- 2,철근콘크리트(5F),2026-07-05,2026-08-10,36,(주)동성철근,TON,84.675,88376.0,542881.0,0.0,631257.0,7483160.0,45967971.0,0.0,53451130.0
인천_00069,인천소방학교,01_본관동,02_B1,A_건축공사,A03_철근콘크리트공사,본관동 B1 철근콘크리트공사,철근시공도 제작,(철근공장가공),철근콘크리트(B1F),2025-11-20,2026-03-10,110,(주)동성철근,TON,44.759,9000.0,0.0,0.0,9000.0,402835.0,0.0,0.0,402835.0
인천_00070,인천소방학교,01_본관동,03_F1,A_건축공사,A03_철근콘크리트공사,본관동 1F 철근콘크리트공사,철근시공도 제작,(철근공장가공),철근콘크리트(1F),2026-03-10,2026-04-15,36,(주)동성철근,TON,378.774,9000.0,0.0,0.0,9000.0,3408967.0,0.0,0.0,3408967.0
인천_00071,인천소방학교,01_본관동,04_F2,A_건축공사,A03_철근콘크리트공사,본관동 2F 철근콘크리트공사,철근시공도 제작,(철근공장가공),철근콘크리트(2F),2026-04-16,2026-05-20,34,(주)동성철근,TON,297.107,9000.0,0.0,0.0,9000.0,2673963.0,0.0,0.0,2673963.0
인천_00072,인천소방학교,01_본관동,05_F3,A_건축공사,A03_철근콘크리트공사,본관동 3F 철근콘크리트공사,철근시공도 제작,(철근공장가공),철근콘크리트(3F),2026-05-21,2026-06-10,20,(주)동성철근,TON,261.244,9000.0,0.0,0.0,9000.0,2351199.0,0.0,0.0,2351199.0
인천_00073,인천소방학교,01_본관동,06_F4,A_건축공사,A03_철근콘크리트공사,본관동 4F 철근콘크리트공사,철근시공도 제작,(철근공장가공),철근콘크리트(4F),2026-06-11,2026-07-05,24,(주)동성철근,TON,202.98,9000.0,0.0,0.0,9000.0,1826821.0,0.0,0.0,1826821.0
인천_00074,인천소방학교,01_본관동,07_F5,A_건축공사,A03_철근콘크리트공사,본관동 5F 철근콘크리트공사,철근시공도 제작,(철근공장가공),철근콘크리트(5F),2026-07-05,2026-08-10,36,(주)동성철근,TON,84.675,9000.0,0.0,0.0,9000.0,762066.0,0.0,0.0,762066.0
인천_00075,인천소방학교,01_본관동,02_B1,A_건축공사,A03_철근콘크리트공사,본관동 B1 철근콘크리트공사,철근하차 및 선별,(철근공장가공),철근콘크리트(B1F),2025-11-20,2026-03-10,110,(주)동성철근,TON,44.759,0.0,9730.0,2258.0,11988.0,0.0,435509.0,101067.0,536576.0
인천_00076,인천소방학교,01_본관동,03_F1,A_건축공사,A03_철근콘크리트공사,본관동 1F 철근콘크리트공사,철근하차 및 선별,(철근공장가공),철근콘크리트(1F),2026-03-10,2026-04-15,36,(주)동성철근,TON,378.774,0.0,9730.0,2258.0,11988.0,0.0,3685472.0,855272.0,4540744.0
인천_00077,인천소방학교,01_본관동,04_F2,A_건축공사,A03_철근콘크리트공사,본관동 2F 철근콘크리트공사,철근하차 및 선별,(철근공장가공),철근콘크리트(2F),2026-04-16,2026-05-20,34,(주)동성철근,TON,297.107,0.0,9730.0,2258.0,11988.0,0.0,2890851.0,670868.0,3561719.0
인천_00078,인천소방학교,01_본관동,05_F3,A_건축공사,A03_철근콘크리트공사,본관동 3F 철근콘크리트공사,철근하차 및 선별,(철근공장가공),철근콘크리트(3F),2026-05-21,2026-06-10,20,(주)동성철근,TON,261.244,0.0,9730.0,2258.0,11988.0,0.0,2541907.0,589890.0,3131796.0
인천_00079,인천소방학교,01_본관동,06_F4,A_건축공사,A03_철근콘크리트공사,본관동 4F 철근콘크리트공사,철근하차 및 선별,(철근공장가공),철근콘크리트(4F),2026-06-11,2026-07-05,24,(주)동성철근,TON,202.98,0.0,9730.0,2258.0,11988.0,0.0,1974996.0,458329.0,2433325.0
인천_00080,인천소방학교,01_본관동,07_F5,A_건축공사,A03_철근콘크리트공사,본관동 5F 철근콘크리트공사,철근하차 및 선별,(철근공장가공),철근콘크리트(5F),2026-07-05,2026-08-10,36,(주)동성철근,TON,84.675,0.0,9730.0,2258.0,11988.0,0.0,823879.0,191193.0,1015073.0
